Date,AAPL,MSFT,AMZN,JPM,GOOGL,META,NVDA,BRK-B,XLK,XLF,XLE,XLV,XLI,SPY,QQQ,IWM,TLT,GLD,BTC-USD,ETH-USD
2021-06-24,130.1614227294922,256.4958801269531,172.45399475097656,134.40750122070312,121.49584197998047,340.50787353515625,19.161602020263672,275.489990234375,70.10518646240234,33.57756805419922,23.111557006835938,115.90006256103516,94.95244598388672,398.3351135253906,339.9376525878906,218.41595458984375,121.70843505859375,166.0399932861328,34662.4375,1988.456298828125
2021-06-25,129.86875915527344,254.88970947265625,170.072998046875,135.7647247314453,121.5042724609375,338.7119445800781,18.987503051757812,278.3800048828125,70.02323150634766,33.982444763183594,23.233308792114258,116.42802429199219,95.13835144042969,399.7499694824219,339.5198669433594,218.7832489013672,120.44468688964844,166.58999633789062,31637.779296875,1813.21728515625
2021-06-26,129.86875915527344,254.88970947265625,170.072998046875,135.7647247314453,121.5042724609375,338.7119445800781,18.987503051757812,278.3800048828125,70.02323150634766,33.982444763183594,23.233308792114258,116.42802429199219,95.13835144042969,399.7499694824219,339.5198669433594,218.7832489013672,120.44468688964844,166.58999633789062,32186.27734375,1829.2392578125
2021-06-27,129.86875915527344,254.88970947265625,170.072998046875,135.7647247314453,121.5042724609375,338.7119445800781,18.987503051757812,278.3800048828125,70.02323150634766,33.982444763183594,23.233308792114258,116.42802429199219,95.13835144042969,399.7499694824219,339.5198669433594,218.7832489013672,120.44468688964844,166.58999633789062,34649.64453125,1978.8946533203125
2021-06-28,131.4980926513672,258.44830322265625,172.1945037841797,136.01150512695312,121.53154754638672,352.870849609375,19.93932342529297,276.6099853515625,70.75611877441406,33.73398971557617,22.448226928710938,116.60401916503906,94.63640594482422,400.5559387207031,343.6490783691406,217.0501708984375,121.68297576904297,166.5800018310547,34434.3359375,2079.657470703125
2021-06-29,133.01036071777344,261.02581787109375,172.40699768066406,135.84400939941406,121.27019500732422,349.15008544921875,19.98098373413086,276.2099914550781,71.27201843261719,33.61436462402344,22.339073181152344,116.73368835449219,94.45047760009766,400.7713623046875,344.8926086425781,216.01406860351562,121.88655090332031,164.8300018310547,35867.77734375,2160.768310546875
2021-06-30,133.625,260.54498291015625,172.00799560546875,137.07785034179688,121.08870697021484,345.0025939941406,19.956783294677734,277.9200134277344,71.19487762451172,33.761592864990234,22.616159439086914,116.65959930419922,95.1848373413086,401.1086730957031,344.3486022949219,216.04234313964844,122.42937469482422,165.6300048828125,35040.8359375,2274.547607421875
2021-07-01,133.92747497558594,261.21820068359375,171.64849853515625,138.43508911132812,121.4407958984375,351.6305847167969,20.165807723999023,280.1700134277344,71.3154067993164,34.02845764160156,23.01079750061035,117.69699096679688,95.8633804321289,403.3295593261719,344.48455810546875,217.94496154785156,122.43611907958984,166.1999969482422,33572.1171875,2113.60546875
2021-07-02,136.55198669433594,267.03692626953125,175.5489959716797,138.30209350585938,124.2307357788086,351.9382019042969,20.44017791748047,279.1199951171875,72.255615234375,33.991641998291016,22.960418701171875,118.82698822021484,96.01211547851562,406.41241455078125,348.4387512207031,215.872802734375,123.17498779296875,167.2899932861328,33897.046875,2150.040283203125
2021-07-03,136.55198669433594,267.03692626953125,175.5489959716797,138.30209350585938,124.2307357788086,351.9382019042969,20.44017791748047,279.1199951171875,72.255615234375,33.991641998291016,22.960418701171875,118.82698822021484,96.01211547851562,406.41241455078125,348.4387512207031,215.872802734375,123.17498779296875,167.2899932861328,34668.546875,2226.1142578125
2021-07-04,136.55198669433594,267.03692626953125,175.5489959716797,138.30209350585938,124.2307357788086,351.9382019042969,20.44017791748047,279.1199951171875,72.255615234375,33.991641998291016,22.960418701171875,118.82698822021484,96.01211547851562,406.41241455078125,348.4387512207031,215.872802734375,123.17498779296875,167.2899932861328,35287.78125,2321.72412109375
2021-07-05,136.55198669433594,267.03692626953125,175.5489959716797,138.30209350585938,124.2307357788086,351.9382019042969,20.44017791748047,279.1199951171875,72.255615234375,33.991641998291016,22.960418701171875,118.82698822021484,96.01211547851562,406.41241455078125,348.4387512207031,215.872802734375,123.17498779296875,167.2899932861328,33746.00390625,2198.58251953125
2021-07-06,138.5618133544922,267.04644775390625,183.78700256347656,135.97982788085938,125.15559387207031,350.03314208984375,20.65118980407715,277.32000732421875,72.53042602539062,33.45794677734375,22.213123321533203,118.7158432006836,95.09188079833984,405.67205810546875,349.9446716308594,212.73629760742188,124.61869049072266,168.1199951171875,34235.1953125,2324.679443359375
2021-07-07,141.04971313476562,269.2297058105469,184.82899475097656,136.1393280029297,125.437255859375,347.76092529296875,20.32518768310547,279.239990234375,72.9258041381836,33.50395202636719,21.85207176208496,119.46609497070312,96.03999328613281,407.1057434082031,350.6831359863281,210.75833129882812,125.72274780273438,168.75999450683594,33855.328125,2315.161865234375
